NOME_FORNECEDOR,CNPJ_FORNECEDOR,EMAIL_FORNECEDOR,TELEFONE_FORNECEDOR,NUMERO_NF,DATA_EMISSAO,VALOR_NET,VALOR_TRIBUTO,VALOR_TOTAL,NOME_ITEM,QTD_ITEM,CONDICAO_PAGAMENTO,CEP,NUM_ENDERECO,COMPLEMENTO,TIPO_ENDERECO,DATA_PROCESSAMENTO
Botsford Group,14776142000150,dbreakwell2d@unesco.org,286-44-7158,3631088,2023-09-01,70000,3000,73000,Azera,1,Entrada/30/60/90 dias,12605180,170,LOTE 74,fornecedor,2023-09-05
Braun Group,84429695000111,mreeson5@github.io,189-25-6515,4889535,2023-09-01,180000,9000,189000,Escalade ESV,1,A vista,12605190,78,,fornecedor,2023-09-05
Carroll Koss,50926955000142,carrol.1234@fds.com,632-63-6534,2555986,2023-09-04,150000,7000,157000,Tacoma,1,A vista,12605200,997,LOTE 92,fornecedor,2023-09-05
Carroll Koss,50926955000142,carrol.1234@fds.com,632-63-6534,5022530,2023-09-09,150000,7000,157000,Tacoma,1,A vista,12605200,997,LOTE 92,fornecedor,2023-09-10
Casper Anderson,67571414000141,rcockman14@twitpic.com,313-34-5254,1406557,2023-09-08,300000,15000,315000,Boxster,1,Entrada/30/60/90 dias,86300000,453,LOTE 41,fornecedor,2023-09-10
Casper Anderson,67571414000141,rcockman14@twitpic.com,313-34-5254,8688288,2023-09-10,300000,15000,315000,Boxster,1,Entrada/30/60/90 dias,12605210,453,LOTE 41,fornecedor,2023-09-10
Cassin Bechtelar,33839910000111,elarwayp@smugmug.com,574-99-2797,,2023-09-17,150000,7000,157000,S10,1,30 dias,12605220,719,LOTE 79,fornecedor,2023-09-20
Cassin Bechtelar,33839910000111,elarwayp@smugmug.com,574-99-2797,7126078,2023-09-18,150000,7000,157000,S10,1,30 dias,12605220,719,LOTE 79,fornecedor,2023-09-20
Collins Hamill,45365558000109,losharkey3@youku.com,324-18-4201,1820034,2023-09-27,150000,7000,157000,Tacoma,1,30 dias,12605230,846,,fornecedor,2023-09-30
Collins Hamill,45365558000109,losharkey3@youku.com,324-18-4201,3799262,2023-09-28,150000,7000,157000,Tacoma,1,30 dias,12605230,846,,fornecedor,2023-09-30
Ankunding,12091809000155,ccaudrey27@hostgator.com,722-35-9907,7712761,2023-10-01,110000,5000,115000,Cooper,1,Entrada/30 dias,12605070,1223,,fornecedor,2023-10-05
Bahringer,12528708000107,amckiernan1e@spotify.com,405-61-1880,1180844,2023-10-01,70000,3000,73000,Azera,1,Entrada/30/60 dias,12605080,1733,LOTE 26,fornecedor,2023-10-05
Balistreri Group,37663076000107,cwallington1h@wp.com,606-41-4411,6884489,2023-10-02,180000,9000,189000,Escalade ESV,1,Entrada/30/60/90 dias,12605090,1122,,fornecedor,2023-10-05
Barrows Mayert,21240146000184,alongland28@acquirethisname.com,609-84-6532,8183821,2023-10-04,110000,5000,115000,Cooper,1,A vista,12605100,1373,LOTE 85,fornecedor,2023-10-05
Bartoletti,20247322000147,azanussii1m@vimeo.com,691-01-7572,3955059,2023-10-08,70000,3000,73000,Azera,1,A vista,12605110,11,LOTE 91,fornecedor,2023-10-10
Bartoletti,20247322000147,azanussii1m@vimeo.com,691-01-7572,9985136,2023-10-09,70000,3000,73000,Azera,1,A vista,12605110,11,LOTE 91,fornecedor,2023-10-10
Barton-Breitenberg,60537263000166,myelden1u@usatoday.com,763-57-5758,4721114,2023-10-14,180000,9000,189000,Escalade ESV,1,Entrada/30/60/90 dias,12605120,917,LOTE 70,fornecedor,2023-10-15
Barton-Breitenberg,60537263000166,myelden1u@usatoday.com,763-57-5758,4721114,2023-10-15,180000,9000,189000,Escalade ESV,1,Entrada/30/60/90 dias,12605120,917,LOTE 70,fornecedor,2023-10-15
